FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,RI,050,00,00,000,0000002,0500000US44001,44001,1,1,44,01219835,001,H4,01219777,39300,1,148,99999,62500772,53359134,Bristol,Bristol County,N,50793,21504,+41.7068397,-071.2866874,06,44001,50793,48019,45355,773,105,1285,1,500,2774,2546,392,339,437,10,1209,18,5,0,98,16,0,12,2,1,7,199,45,4,0,66,2,2,25,14,17,2,2,0,3,6,4,0,1,3,3,0,28,3,8,10,1,0,1,0,2,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,50793,1943,48850,46937,44671,732,85,1279,1,169,1913,1767,377,324,433,10,503,17,5,0,71,11,0,7,1,1,7,127,37,2,0,45,2,1,6,14,5,0,0,0,3,6,2,0,1,3,0,0,19,2,8,4,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41591,39860,37861,627,85,912,0,375,1731,1602,229,255,167,10,824,18,5,0,67,10,0,12,1,1,3,114,21,2,0,28,2,2,18,13,9,2,2,0,0,6,2,0,1,3,3,0,14,0,8,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,41591,1383,40208,39032,37334,598,69,909,0,122,1176,1092,225,243,164,10,362,17,5,0,47,8,0,7,0,1,3,71,14,2,0,22,2,1,6,13,1,0,0,0,0,6,0,0,1,3,0,0,13,0,8,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21504,19926,1578,3405,681,0,12,669,0,2724,2569,0,155
PLST,RI,050,00,00,000,0000003,0500000US44003,44003,1,1,44,01219835,003,H4,01219778,39300,1,148,99999,436584631,50690252,Kent,Kent County,N,170363,76084,+41.6751180,-071.5802819,06,44003,170363,159640,147106,3220,532,4882,40,3860,10723,9804,1174,1756,1153,61,4735,157,37,13,562,9,11,55,22,34,25,845,274,47,17,305,18,0,87,26,25,4,1,0,20,0,3,7,0,2,9,0,66,5,3,47,5,2,1,0,1,0,0,0,0,2,0,0,8,0,4,0,2,2,0,0,0,170363,9665,160698,153643,144761,2889,364,4830,32,767,7055,6468,1043,1680,1124,60,2006,140,33,11,283,9,4,24,20,24,7,555,228,36,15,194,18,0,19,26,0,4,0,0,12,0,1,0,0,1,1,0,30,3,3,15,5,1,1,0,1,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,139171,132394,122972,2378,406,3765,37,2836,6777,6302,571,1289,555,46,3205,111,16,2,400,7,0,43,20,17,20,433,150,14,7,160,5,0,53,14,9,2,0,0,11,0,2,0,0,2,4,0,38,5,2,24,4,1,0,0,0,0,0,0,0,2,0,0,4,0,4,0,0,0,0,0,0,139171,6347,132824,128345,121564,2179,288,3729,30,555,4479,4165,511,1246,547,45,1400,104,16,2,223,7,0,22,18,17,7,294,133,14,5,103,5,0,12,14,0,2,0,0,5,0,0,0,0,1,0,0,18,3,2,8,4,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,76084,72063,4021,2089,1181,0,55,1126,0,908,387,0,521
PLST,RI,050,00,00,000,0000004,0500000US44005,44005,1,1,44,01219835,005,H4,01219779,39300,1,148,99999,265293780,547001789,Newport,Newport County,N,85643,43422,+41.5010449,-071.2830626,06,44005,85643,79432,72063,2840,362,1570,64,2533,6211,5656,1010,733,784,64,2535,152,43,3,240,5,7,28,22,16,14,460,137,54,3,124,7,9,27,21,19,5,6,0,28,3,4,4,0,0,2,7,75,21,0,40,0,0,1,3,0,4,0,1,0,3,2,0,14,4,2,3,0,5,0,6,6,85643,5592,80051,76015,70914,2645,265,1543,49,599,4036,3657,923,681,754,60,882,141,43,0,137,5,2,4,20,4,1,320,114,50,3,67,7,9,2,21,2,5,3,0,19,3,4,2,0,0,2,7,44,12,0,21,0,0,0,3,0,4,0,0,0,2,2,0,9,4,2,3,0,0,0,6,6,70890,67023,61470,2195,271,1286,48,1753,3867,3595,459,561,426,36,1736,101,16,1,197,0,3,13,22,15,9,223,67,21,1,53,3,2,20,9,7,3,6,0,14,3,1,4,0,0,2,7,38,7,0,22,0,0,0,3,0,0,0,1,0,3,2,0,8,2,2,3,0,1,0,3,3,70890,3666,67224,64730,60685,2082,201,1273,40,449,2494,2299,432,531,411,32,644,94,16,0,113,0,2,0,20,4,0,161,60,21,1,30,3,2,2,9,1,3,3,0,11,3,1,2,0,0,2,7,24,7,0,10,0,0,0,3,0,0,0,0,0,2,2,0,7,2,2,3,0,0,0,3,3,43422,36480,6942,3821,863,0,36,816,11,2958,1384,1219,355
PLST,RI,050,00,00,000,0000005,0500000US44007,44007,1,1,44,01219835,007,H4,01219781,39300,1,148,99999,1060552463,67870199,Providence,Providence County,N,660741,276770,+41.8697678,-071.5786246,06,44007,660741,585083,402194,53803,5362,28614,380,94730,75658,69410,6652,4343,3745,149,33344,1689,300,56,17053,63,11,989,106,379,531,5455,1087,160,26,2557,94,19,526,82,167,52,21,12,451,34,98,34,4,16,10,5,749,67,8,571,8,59,7,1,10,3,4,0,6,5,0,0,38,4,27,5,0,2,0,6,6,660741,160323,500418,465816,378615,47652,1882,28110,190,9367,34602,31127,5481,3816,3582,134,5311,1383,267,45,10628,42,6,127,97,132,76,3138,795,135,20,1436,86,13,75,77,66,9,17,5,287,29,59,16,1,9,3,0,318,60,4,194,8,36,4,1,3,1,0,0,6,1,0,0,17,4,8,3,0,2,0,2,2,527180,475592,340118,39899,3902,23496,280,67897,51588,47911,3435,3253,2166,108,23598,1198,153,46,12428,41,8,733,89,248,407,3159,664,74,14,1390,66,8,350,47,81,31,12,9,288,17,57,27,4,16,4,0,489,51,4,374,5,31,2,1,7,3,4,0,2,5,0,0,23,4,12,5,0,2,0,6,6,527180,111371,415809,392492,324836,35852,1455,23244,148,6957,23317,21325,2867,2947,2090,102,3792,1028,137,38,7951,29,6,96,82,95,65,1781,489,59,9,760,63,2,40,45,32,5,10,2,193,17,31,14,1,9,0,0,192,44,3,115,5,18,2,1,0,1,0,0,2,1,0,0,17,4,8,3,0,2,0,2,2,276770,260366,16404,29026,9084,3082,214,5639,149,19942,15525,0,4417
PLST,RI,050,00,00,000,0000006,0500000US44009,44009,1,1,44,01219835,009,H4,01219782,39300,1,148,99999,852827573,604769755,Washington,Washington County,N,129839,65694,+41.3967920,-071.6202820,06,44009,129839,123411,116202,1532,1024,2610,51,1992,6428,5876,732,1146,890,49,2648,153,12,14,147,5,3,19,29,18,11,468,230,21,1,91,21,9,47,6,15,1,7,0,12,1,0,0,0,4,2,0,76,17,0,43,5,2,4,0,0,0,0,2,0,0,3,0,8,5,2,0,0,1,0,0,0,129839,4578,125261,120617,115089,1468,917,2605,48,490,4644,4238,691,1092,857,45,1279,139,3,14,80,5,3,9,17,3,1,351,206,21,1,61,21,7,6,6,7,0,4,0,8,1,0,0,0,2,0,0,47,16,0,18,5,2,3,0,0,0,0,0,0,0,3,0,8,5,2,0,0,1,0,0,0,108762,104714,98800,1257,756,2260,37,1604,4048,3746,357,836,470,25,1764,106,9,14,103,2,3,14,25,8,10,265,129,9,0,55,16,6,28,2,5,0,3,0,6,0,0,0,0,4,2,0,33,11,0,14,0,0,3,0,0,0,0,2,0,0,3,0,4,3,0,0,0,1,0,0,0,108762,3221,105541,102579,98016,1213,686,2257,37,370,2962,2738,338,809,454,21,901,100,3,14,65,2,3,9,16,3,0,200,117,9,0,34,16,4,6,2,4,0,0,0,6,0,0,0,0,2,0,0,20,11,0,3,0,0,3,0,0,0,0,0,0,0,3,0,4,3,0,0,0,1,0,0,0,65694,52439,13255,7414,908,0,24,883,1,6506,6054,0,452
